Class_x,Confidence_x,OCR Text_x,Image,Class_y,Confidence_y,OCR Text_y,Class_x.1,Confidence_x.1,OCR Text_x.1,Class_y.1,Confidence_y.1,OCR Text_y.1,Class_x.2,Confidence_x.2,OCR Text_x.2,Class_y.2,Confidence_y.2,OCR Text_y.2,Class_x.3,Confidence_x.3,OCR Text_x.3,Class_y.3,Confidence_y.3,OCR Text_y.3,Class_x.4,Confidence_x.4,OCR Text_x.4,Class_y.4,Confidence_y.4,OCR Text_y.4,Class_x.5,Confidence_x.5,OCR Text_x.5,Class_y.5,Confidence_y.5,OCR Text_y.5,Class_x.6,Confidence_x.6,OCR Text_x.6,Class_y.6,Confidence_y.6,OCR Text_y.6,Class_x.7,Confidence_x.7,OCR Text_x.7,Class_y.7,Confidence_y.7,OCR Text_y.7,Class_x.8,Confidence_x.8,OCR Text_x.8,Class_y.8,Confidence_y.8,OCR Text_y.8,Class,Confidence,OCR Text
,,,./sample_images/IMG_20230512_175527_Bokeh.jpg,2 DO Meter,0.8557554,"['E80', 'OFF', 'ON', 'INPU', 'DO', 'CAL', '0-20.0 mg/L', 'ZERO ADJ.', '02CAL.', 'W/O PROBE', 'AIR 20.9', 'DISSOLVED OXYGEN METER', 'utron DO-5509']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,./sample_images/IMG_20230512_180047.jpg,2 DO Meter,0.8583342,"['09.5', 'INPUT', 'OFF', 'ON', 'DO', 'CAL', '0-20.0 mg/L', 'ZERO ADJ.', 'O2 CAL.', 'W/OPROBE)', 'AIR 20.9)', 'DISSOLVED OXYGEN METER', 'LrLutron', 'DO-5509']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,./sample_images/IMG_2529.jpg,0 TDS/EC Meters,0.9765524,"['TDS&EC', '.BEE', 'meter(hold)', 'SHIFT', 'EC']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,./sample_images/IMG_2564.jpg,0 TDS/EC Meters,0.9920476,"['TDS&EC', '1000', 'meter(hold)', '3275', 'EC', 'Jus/em']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,./sample_images/IMG_2566.jpg,0 TDS/EC Meters,0.99792683,"['TDS&EC', '8600', ""b.I'EE"", 'meter(hold)', 'ON/OFF', 'EC']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,./sample_images/IMG_2576.jpg,0 TDS/EC Meters,0.98902506,"['TDS&EC', 'HEIO', 'TER', 'meter(hold)', 'IO/N']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,./sample_images/IMG_2581.jpg,0 TDS/EC Meters,0.8990679,"['HS', 'N/OFF', '.51E', 'us/cm', 'h21', 'meter(hold)', 'TDS&EC']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,./sample_images/IMG_4756.jpg,1 pH Meters,0.99987614,"['Prbbrea', 'KOAVIO', '8.30', 'pHI']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,./sample_images/IMG_4788.jpg,1 pH Meters,0.99903995,"['6.86', 'pH1']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,./sample_images/IMG_4793.jpg,1 pH Meters,0.99911314,"['7.66', 'pHI']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,./sample_images/IMG_4798.jpg,1 pH Meters,0.99962926,"['8.22', 'pHI']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,./sample_images/IMG_4851.jpg,1 pH Meters,0.99999464,"['98h', 'pH1']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,./sample_images/IMG_4853.jpg,1 pH Meters,0.99997866,['THI'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,./sample_images/IMG_4879.jpg,1 pH Meters,0.99983823,"['ONEER', 'KOAVIO', 'ONIOEF', 'THa']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,./sample_images/IMG_4974.jpg,1 pH Meters,0.99999976,"['PHI', '11.42']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,./sample_images/IMG_4981.jpg,1 pH Meters,0.9999994,"['pHI', '11.82']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,./sample_images/IMG_6135.jpg,1 pH Meters,0.7385184,"['TDS&EC', 'meter(hold)', 'EC', '005', 'us/cr', '10', 'ON/OFF', 'SHIF', 'HOLD']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,./sample_images/IMG_6172.jpg,0 TDS/EC Meters,0.9076742,"['TDS&EC', 'meter(hold)', 'ON/OFF', 'OL', 'SHIFT']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,./sample_images/IMG_6182.jpg,0 TDS/EC Meters,0.9653916,"['TDS&EC', 'meter(hold)', 'DOY6', 'us/on', '336', 'ON/OFF', 'SHIFT', 'HOL']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,./sample_images/IMG_6185.jpg,1 pH Meters,0.9509216,"['TDS&EC', 'meter(hold)', '8.10', 'ONIOFF', 'SHIF', 'HOLD']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,./sample_images/IMG_6191.jpg,1 pH Meters,0.9127095,"['TDS&EC', 'meter(hold)', '.hEt', 'ON/OFF']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,./sample_images/IMG_6864.jpg,1 pH Meters,0.99855274,"['pH2', '0E8']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,./sample_images/IMG_6867.jpg,1 pH Meters,0.9998572,"['ONIOFF', 'pH2']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,./sample_images/IMG_6881.jpg,1 pH Meters,0.99923,"['pH2', 'h19']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,./sample_images/IMG_6886.jpg,1 pH Meters,0.9974254,"['ON/OFF', 'CAI', '6.46', 'pH2']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,./sample_images/IMG_6906.jpg,1 pH Meters,0.9997992,"['pH2', '4.86']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
